,CustomerID,ItemID,Sex,Age,Profession,CityType,YearsInCity,Married,ItemCategory1,ItemCategory2,ItemCategory3,Amount
4769,1000774,P00354142,M,18-25,4,A,4+,0.0,6,8.0,,16546
4770,1000774,P00195942,M,18-25,4,A,4+,0.0,3,4.0,,8039
5165,1000850,P00361842,M,36-45,0,A,3,1.0,15,16.0,,12911
5166,1000850,P00223842,M,36-45,0,A,3,1.0,2,4.0,8.0,12967
5167,1000850,P00117642,M,36-45,0,A,3,1.0,10,16.0,,18591
5168,1000850,P00084542,M,36-45,0,A,3,1.0,5,,,8783
5169,1000850,P00155942,M,36-45,0,A,3,1.0,8,17.0,,2069
5170,1000850,P00102842,M,36-45,0,A,3,1.0,8,,,7823
5171,1000850,P00106042,M,36-45,0,A,3,1.0,5,,,6865
5172,1000850,P00049042,M,36-45,0,A,3,1.0,8,,,7897
5173,1000850,P00254342,M,36-45,0,A,3,1.0,5,11.0,,5329
5174,1000850,P00117542,M,36-45,0,A,3,1.0,18,,,2365
5175,1000850,P00079842,M,36-45,0,A,3,1.0,6,8.0,,16516
5176,1000850,P00101942,M,36-45,0,A,3,1.0,8,17.0,,6002
5177,1000850,P00230642,M,36-45,0,A,3,1.0,5,,,6961
5178,1000850,P0097042,M,36-45,0,A,3,1.0,6,,,12276
5179,1000850,P00266442,M,36-45,0,A,3,1.0,5,,,5384
5180,1000850,P00199642,M,36-45,0,A,3,1.0,16,,,12698
5181,1000850,P00324642,M,36-45,0,A,3,1.0,8,,,4195
5182,1000850,P00036842,M,36-45,0,A,3,1.0,1,14.0,16.0,11696
5183,1000850,P00329242,M,36-45,0,A,3,1.0,5,14.0,,6973
5184,1000850,P00231442,M,36-45,0,A,3,1.0,5,,,6938
5185,1000850,P00357742,M,36-45,0,A,3,1.0,4,,,698
5446,1000887,P00025442,F,55+,16,B,3,1.0,1,2.0,9.0,15231
5447,1000887,P00138542,F,55+,16,B,3,1.0,5,6.0,,7072
5448,1000887,P00135742,F,55+,16,B,3,1.0,6,8.0,,12587
5449,1000887,P00337542,F,55+,16,B,3,1.0,5,14.0,,5154
5450,1000887,P00182742,F,55+,16,B,3,1.0,1,2.0,14.0,11923
5451,1000887,P00216142,F,55+,16,B,3,1.0,1,16.0,,11802
5452,1000887,P00112842,F,55+,16,B,3,1.0,8,17.0,,9988
5616,1000905,P00044442,F,46-50,12,C,1,1.0,1,16.0,,15180
5617,1000905,P00274942,F,46-50,12,C,1,1.0,8,,,9956
5618,1000905,P00073842,F,46-50,12,C,1,1.0,1,15.0,17.0,12044
5619,1000905,P00249742,F,46-50,12,C,1,1.0,1,15.0,18.0,7988
5620,1000905,P00052842,F,46-50,12,C,1,1.0,10,15.0,,23449
5621,1000905,P00329542,F,46-50,12,C,1,1.0,1,15.0,16.0,11582
5622,1000905,P00345742,F,46-50,12,C,1,1.0,1,2.0,15.0,7966
5623,1000905,P00153742,F,46-50,12,C,1,1.0,8,,,8002
5802,1000936,P00184742,M,18-25,4,C,4+,0.0,11,16.0,,4691
5803,1000936,P00015342,M,18-25,4,C,4+,0.0,2,4.0,,9784
5804,1000936,P00222842,M,18-25,4,C,4+,0.0,8,,,7998
5805,1000936,P00014542,M,18-25,4,C,4+,0.0,8,,,9960
5806,1000936,P00143342,M,18-25,4,C,4+,0.0,1,14.0,16.0,7723
5987,1000973,P00196542,F,26-35,1,C,1,1.0,5,8.0,14.0,5348
5988,1000973,P00122542,F,26-35,1,C,1,1.0,11,,,6176
5989,1000973,P00154642,F,26-35,1,C,1,1.0,8,,,4078
5990,1000973,P00291042,F,26-35,1,C,1,1.0,8,,,4203
5991,1000973,P00035542,F,26-35,1,C,1,1.0,3,4.0,12.0,8206
5992,1000973,P00118042,F,26-35,1,C,1,1.0,8,,,8034
5993,1000973,P00034742,F,26-35,1,C,1,1.0,5,14.0,17.0,6924
6016,1000977,P00124842,M,26-35,2,C,0,0.0,11,,,7602
6017,1000977,P00180342,M,26-35,2,C,0,0.0,11,,,4561
6018,1000977,P00052842,M,26-35,2,C,0,0.0,10,15.0,,18926
6019,1000977,P00115142,M,26-35,2,C,0,0.0,1,8.0,17.0,19109
6020,1000977,P00119142,M,26-35,2,C,0,0.0,3,4.0,12.0,8343
6021,1000977,P00100842,M,26-35,2,C,0,0.0,5,,,3459
6022,1000977,P00112242,M,26-35,2,C,0,0.0,5,8.0,14.0,3745
6023,1000977,P00316642,M,26-35,2,C,0,0.0,4,5.0,,2146
6024,1000977,P00362342,M,26-35,2,C,0,0.0,5,,,8640
6025,1000977,P00114942,M,26-35,2,C,0,0.0,1,15.0,16.0,15486
6026,1000977,P00233442,M,26-35,2,C,0,0.0,1,2.0,15.0,15741
6027,1000977,P00226742,M,26-35,2,C,0,0.0,11,,,6082
6028,1000977,P00055242,M,26-35,2,C,0,0.0,11,,,4674
6029,1000977,P00242742,M,26-35,2,C,0,0.0,1,2.0,9.0,4498
6030,1000977,P00240242,M,26-35,2,C,0,0.0,1,15.0,16.0,11848
6077,1000986,P00369042,F,55+,0,C,1,1.0,8,16.0,,7810
6078,1000986,P00367642,F,55+,0,C,1,1.0,5,,,1896
6099,1000996,P00161942,M,26-35,17,A,4+,0.0,5,8.0,,8603
6100,1000996,P00173042,M,26-35,17,A,4+,0.0,13,15.0,16.0,578
6101,1000996,P00240242,M,26-35,17,A,4+,0.0,1,15.0,16.0,15757
6102,1000996,P00111242,M,26-35,17,A,4+,0.0,1,18.0,,19327
6103,1000996,P00220942,M,26-35,17,A,4+,0.0,18,,,3117
6104,1000996,P00201442,M,26-35,17,A,4+,0.0,1,6.0,8.0,19198
6105,1000996,P00334242,M,26-35,17,A,4+,0.0,1,8.0,,15914
6106,1000996,P00288942,M,26-35,17,A,4+,0.0,1,2.0,5.0,19460
6107,1000996,P00222242,M,26-35,17,A,4+,0.0,1,2.0,13.0,15383
6108,1000996,P00350342,M,26-35,17,A,4+,0.0,1,6.0,,15585
6109,1000996,P00249042,M,26-35,17,A,4+,0.0,7,,,16551
6110,1000996,P00129542,M,26-35,17,A,4+,0.0,8,14.0,,10032
6111,1000996,P0099342,M,26-35,17,A,4+,0.0,5,8.0,,7119
6219,1001013,P00113242,M,55+,13,C,1,0.0,1,6.0,8.0,15752
6220,1001013,P00278642,M,55+,13,C,1,0.0,5,,,8748
6410,1001039,P00250842,F,36-45,1,C,3,0.0,8,,,2177
6915,1001102,P00031042,M,18-25,1,A,2,0.0,8,,,2023
6993,1001117,P00153742,M,18-25,14,B,3,0.0,8,,,9780
6994,1001117,P00006942,M,18-25,14,B,3,0.0,1,5.0,6.0,15678
6995,1001117,P00258842,M,18-25,14,B,3,0.0,5,,,6916
6996,1001117,P00135742,M,18-25,14,B,3,0.0,6,8.0,,12393
6997,1001117,P00226442,M,18-25,14,B,3,0.0,11,15.0,,3140
6998,1001117,P00116942,M,18-25,14,B,3,0.0,6,10.0,16.0,20257
6999,1001117,P00052842,M,18-25,14,B,3,0.0,10,15.0,,23366
7000,1001117,P00115242,M,18-25,14,B,3,0.0,5,8.0,,8662
7001,1001117,P00250342,M,18-25,14,B,3,0.0,16,,,16736
7002,1001117,P00248742,M,18-25,14,B,3,0.0,5,,,7086
7003,1001117,P00247042,M,18-25,14,B,3,0.0,5,14.0,,8578
7004,1001117,P00146742,M,18-25,14,B,3,0.0,1,13.0,14.0,12127
7005,1001117,P00156142,M,18-25,14,B,3,0.0,5,8.0,,3636
7006,1001117,P00206042,M,18-25,14,B,3,0.0,5,,,6891
7007,1001117,P00259942,M,18-25,14,B,3,0.0,16,,,12277
7008,1001117,P00224042,M,18-25,14,B,3,0.0,8,,,2224
7009,1001117,P00149642,M,18-25,14,B,3,0.0,5,14.0,,5161
7010,1001117,P00040742,M,18-25,14,B,3,0.0,1,5.0,,8189
7011,1001117,P00197342,M,18-25,14,B,3,0.0,1,2.0,,7946
7012,1001117,P00344242,M,18-25,14,B,3,0.0,8,10.0,,8108
7013,1001117,P00338442,M,18-25,14,B,3,0.0,1,16.0,,15442
7014,1001117,P00205942,M,18-25,14,B,3,0.0,5,8.0,14.0,8845
7015,1001117,P00199442,M,18-25,14,B,3,0.0,5,9.0,,6982
7016,1001117,P00117342,M,18-25,14,B,3,0.0,1,8.0,13.0,11561
7017,1001117,P00105642,M,18-25,14,B,3,0.0,8,,,7784
7018,1001117,P00285742,M,18-25,14,B,3,0.0,8,,,7847
7019,1001117,P00329442,M,18-25,14,B,3,0.0,5,8.0,,7102
7020,1001117,P00346042,M,18-25,14,B,3,0.0,6,8.0,15.0,16222
7021,1001117,P00059642,M,18-25,14,B,3,0.0,1,2.0,3.0,15706
7022,1001117,P00223142,M,18-25,14,B,3,0.0,5,,,7166
7023,1001117,P00280442,M,18-25,14,B,3,0.0,11,,,4471
7024,1001117,P00258342,M,18-25,14,B,3,0.0,11,,,4511
7025,1001117,P00118742,M,18-25,14,B,3,0.0,5,11.0,,8581
7026,1001117,P00252442,M,18-25,14,B,3,0.0,8,,,10001
7027,1001117,P00176842,M,18-25,14,B,3,0.0,12,14.0,,1385
7028,1001117,P00086342,M,18-25,14,B,3,0.0,8,,,10020
7029,1001117,P00268442,M,18-25,14,B,3,0.0,8,17.0,,7756
7030,1001117,P00151742,M,18-25,14,B,3,0.0,8,15.0,16.0,8131
7031,1001117,P00238742,M,18-25,14,B,3,0.0,13,,,573
7032,1001117,P00037442,M,18-25,14,B,3,0.0,18,,,2359
7033,1001117,P00036342,M,18-25,14,B,3,0.0,5,8.0,,7024
7034,1001117,P00076042,M,18-25,14,B,3,0.0,8,,,6112
7307,1001147,P00274142,M,26-35,20,B,3,0.0,1,,,15880
7308,1001147,P0097142,M,26-35,20,B,3,0.0,12,,,687
7309,1001147,P00324942,M,26-35,20,B,3,0.0,5,,,5331
7310,1001147,P00013942,M,26-35,20,B,3,0.0,5,,,1853
7311,1001147,P00026242,M,26-35,20,B,3,0.0,8,,,1993
7312,1001147,P00220742,M,26-35,20,B,3,0.0,2,4.0,9.0,3250
7313,1001147,P00200242,M,26-35,20,B,3,0.0,8,10.0,16.0,9788
7314,1001147,P00277242,M,26-35,20,B,3,0.0,16,,,8197
7315,1001147,P00132542,M,26-35,20,B,3,0.0,8,,,2248
7316,1001147,P00111542,M,26-35,20,B,3,0.0,2,17.0,,12794
7317,1001147,P00160442,M,26-35,20,B,3,0.0,8,,,8110
7318,1001147,P00324342,M,26-35,20,B,3,0.0,8,14.0,,7925
7835,1001219,P00114042,M,26-35,7,C,3,1.0,5,14.0,,6956
7836,1001219,P00001042,M,26-35,7,C,3,1.0,1,2.0,16.0,7844
7837,1001219,P00262242,M,26-35,7,C,3,1.0,1,11.0,16.0,12112
7838,1001219,P00057442,M,26-35,7,C,3,1.0,5,14.0,16.0,8667
7839,1001219,P00035942,M,26-35,7,C,3,1.0,1,5.0,18.0,11525
7840,1001219,P00137542,M,26-35,7,C,3,1.0,1,8.0,16.0,12128
7841,1001219,P00352242,M,26-35,7,C,3,1.0,1,6.0,16.0,15910
7842,1001219,P00019942,M,26-35,7,C,3,1.0,1,,,15273
7843,1001219,P00132842,M,26-35,7,C,3,1.0,1,5.0,,8138
7844,1001219,P00138442,M,26-35,7,C,3,1.0,1,2.0,16.0,4369
7913,1001227,P00005042,M,51-55,1,B,2,1.0,6,16.0,,16244
7914,1001227,P00250442,M,51-55,1,B,2,1.0,14,,,18475
7915,1001227,P00134142,M,51-55,1,B,2,1.0,5,,,6967
7916,1001227,P00061442,M,51-55,1,B,2,1.0,17,,,12767
7917,1001227,P00014542,M,51-55,1,B,2,1.0,8,,,5911
7945,1001233,P00141842,F,46-50,20,C,1,1.0,5,14.0,,5273
7946,1001233,P00087242,F,46-50,20,C,1,1.0,14,,,14998
7947,1001233,P00264042,F,46-50,20,C,1,1.0,4,,,2862
8066,1001253,P00105542,F,36-45,20,C,1,0.0,8,,,9870
8067,1001253,P00215642,F,36-45,20,C,1,0.0,8,,,7857
8343,1001285,P00345842,M,36-45,4,A,0,1.0,2,8.0,14.0,12696
8344,1001285,P00157542,M,36-45,4,A,0,1.0,8,14.0,,8097
8345,1001285,P00070942,M,36-45,4,A,0,1.0,3,5.0,16.0,13528
8346,1001285,P00031042,M,36-45,4,A,0,1.0,8,,,9968
8347,1001285,P00015742,M,36-45,4,A,0,1.0,7,,,20742
8348,1001285,P00255842,M,36-45,4,A,0,1.0,16,,,20926
8349,1001285,P00337842,M,36-45,4,A,0,1.0,5,,,8694
8350,1001285,P00274942,M,36-45,4,A,0,1.0,8,,,9920
8351,1001285,P00291342,M,36-45,4,A,0,1.0,8,,,5975
8352,1001285,P00293342,M,36-45,4,A,0,1.0,8,,,7794
8353,1001285,P00012142,M,36-45,4,A,0,1.0,5,,,7128
8354,1001285,P00302742,M,36-45,4,A,0,1.0,8,,,7992
8355,1001285,P00211142,M,36-45,4,A,0,1.0,5,,,6882
